p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,ch,x,y,z
-0.7293699450812916,-1.130024336714591,-1.7858076244768295,-3.1357875184456763,-2.5871146536541048,-2.6307923798271418,-5.110116054937357,-0.3621647315168559,-2.008090634660263,-5.1379881609216085,-4.142586863646812,-4.531976300991204,-3.0835745857512222,-1.5875104400480922,-5.945224267665459,-2.8335311292955794,25,0.0073,0.0074,-0.0009
-0.7186008424815782,-1.049182642074875,-1.2831865285340847,-3.2888556561039586,-3.0875406558715,-2.9282964438026013,-5.49064370610656,-0.3901899690688424,-2.251290706260299,-3.7698964165941646,-5.360606093113702,-4.738949892983769,-3.1427275253823908,-1.6573218940604946,-5.854267718424481,-2.9973851679053283,24,0.0088,0.0068,-0.0028
-3.2852662845778404,-4.799195817991972,-4.3688839560593,-3.625498797442315,-1.5053590814909867,-1.8782992462531354,-2.9736425301314355,-3.8477521355729962,-5.504609106139554,-1.122450548447361,-4.49501949974384,-2.604883569160968,-0.3234643354174125,-4.475289650169017,-2.4776604365660972,-2.623214444740295,2,0.0045,0.0122,0.0046
-2.344015921437382,-4.53191010796229,-3.960660654345997,-2.1924106738323417,-4.99241545729987,-0.47068389901058794,-1.9521045172084541,-3.587391279458707,-5.22843652081967,-2.248354949413411,-3.6722047437065655,-2.19069328327609,-4.372028998154015,-4.473529361771227,-3.9299129397199692,-0.6223332562722383,8,0.0034,0.012,0.0016
-3.0158625534837924,-3.455338741553952,-3.1071210445513238,-3.986354278764768,-3.4218596569226207,-1.7191985740141504,-0.45905560985045923,-1.3943636551508547,-4.297104059110794,-1.0544463299287088,-1.9054337138816564,-2.887658794999254,-3.911087687499638,-5.041966477157182,-1.2337282708679354,-2.1182672566365817,36,0.0032,0.0113,0.0017
-4.764998034924872,-5.900453266489663,-5.460507025641265,-6.060103543002043,-4.1007566529797685,-4.8500302335228795,-3.126023714782825,-4.401365036893871,-6.144716032487402,-3.989848515548786,-4.691343187105879,-0.44672121196326486,-0.5107180033312915,-4.053538067673209,-4.328152388017209,-5.528346021236125,34,0.0028,0.0122,0.0024
-5.820432714639175,-5.881977218496228,-1.0057195589822214,-1.5734886787202846,-0.8036494923787885,-1.1059480449813393,-3.5452395907531695,-5.348733120827291,-0.5041004961145958,-3.362440573992842,-2.11349237269598,-2.731944523213812,-1.6937079915976483,-0.14990997007949858,-5.024361648511594,-1.09120422295166,26,0.001,0.0121,-0.0005
-2.8987476979691387,-3.5204479976692795,-3.461686660805352,-4.08125830508858,-2.684153155856862,-4.045845320083167,-2.566620564181804,-2.9835917853572127,-4.2667656266201845,-1.0549133523695815,-1.6424802898574242,-0.9753473651215359,-0.15180336128113225,-3.1173274503494923,-1.8327169294286705,-3.6413751545408815,19,-0.0048,0.0148,0.001
-0.947855338057245,-1.117137653640885,-2.123558429571668,-1.8214198731787583,-1.1253466033879818,-1.7105604473195584,-4.910929440126161,-0.6517579596579139,-1.6160492315536175,-4.040285419039137,-1.0899848301336945,-3.6325328634284446,-2.879652307487831,-1.2107568192359395,-6.191426665131338,-1.782411586308772,29,-0.0062,0.0142,0.0021
-2.30610650696012,-4.211621342904358,-4.3084056388286385,-3.3925721674478773,-0.40998038191258956,-5.963699678927348,-1.8663382176423085,-2.8843047587725934,-4.575288050874299,-0.09153509913112146,-3.2501300646984674,-1.3189681362557906,-5.803173297350234,-4.360884103650989,-1.2958404131116126,-1.3133775659104074,3,-0.0061,0.015,0.0033
